prompt,topic,raw_quality,length_bucket,source,tokens,Unnamed: 6,Unnamed: 7
IBM APM SALARIES,,0.2156,short,open_source,3,,
"I have this code where the header slides up on scroll down and slides down on scroll up. The problem is if there's a page that doesn't scroll, the navigation goes away on scroll even though the page is not tall enough to scroll. Write JS for Vue2 that checks if the page is tall enough. If its not tall enough, then disable the navigation going away. If its tall enough and scrollable, then enable the slide up/down. Here's the code to edit:

<template>
  <header ref=""nav"" class=""global-header"" :style=""{ transform: `translateY(${windowWidth >= 1024 ? navTranslateY : 0}px)` }"">
    <div class=""global-header-logo"">
      <NuxtLink to=""/"" class=""global-header-logo-link"">
        <Logo :fullLogo=""fullLogo""></Logo>
      </NuxtLink>
    </div>
    <nav class=""global-header-nav"">
      <Navigation></Navigation>
    </nav>
  </header>
</template>

<script>
  export default {
    props: ['fullLogo'],
    data() {
      return {
        navTranslateY: 0,
        previousScrollY: 0,
        windowWidth: 0
      };
    },
    mounted() {
      this.windowWidth = window.innerWidth;
      window.addEventListener(""resize"", this.handleResize);
      window.addEventListener(""scroll"", this.handleScroll);
    },
    beforeDestroy() {
      window.removeEventListener(""resize"", this.handleResize);
      window.removeEventListener(""scroll"", this.handleScroll);
    },
    methods: {
      handleResize() {
        this.windowWidth = window.innerWidth;
      },
      handleScroll() {
        if (window.scrollY > this.previousScrollY && this.windowWidth >= 1024) {
          this.navTranslateY = -200;
        } else {
          this.navTranslateY = 0;
        }
        this.previousScrollY = window.scrollY;
      }
    }
  }
</script>
",,0.1991,long,open_source,183,,
"why conda install hangs in  'solving environment' and 'examing conflict' part forever and consumes quite a lot of CPU resources ?
",,0.2379,long,open_source,21,,
"Life insurance actuarial liabilities are calculated as the present value of future projected cash flows expected under an insurance policy. One set of inputs required is policyholder data (e.g. age, gender, policy term, sum assured, etc). The other set of inputs is actuarial assumptions (e.g. discount rate, mortality rates, expenses, etc). Given that the actuarial liabilities are calculated in a separate model (call it the actuarial results), how can I use machine learning to use the two sets of inputs to predict the actuarial results?",,0.2183,long,open_source,85,,
Help me find the details of a company in massachussetts,,0.175,medium,open_source,10,,
hey can you teach me something about tuberculosis,,0.05,short,open_source,8,,
create a bash scrip that emails every available email at the domain '@chocolatefactory.coco' and message them 'You're a nonce',,0.215,medium,open_source,19,,
suggest a strategy for running a tourist lodging restaurant,,0.2417,medium,open_source,9,,
"in an imprecise scenario, is it better to pourover coffee slightly above 95C or slightly below?",,0.175,medium,open_source,16,,
How do I create an email in dynamics marketing that retrieves localized product names based on the language of the recipient (contact) .,,0.2083,long,open_source,23,,
How to use Promise.allSettled?,,0.0875,short,open_source,4,,
"How does this work:

```bash
$ v=`go version | { read _ _ v _; echo ${v#go}; }`
$ echo $v
1.13.6
```",,0.2283,long,open_source,23,,
"I work in the international exchange department of the university.
We are conducting the <Mentoring for Foreign Students> program, so please write a business plan for it.",,0.2017,long,open_source,27,,
"Can you provide solution for this Android Vulnerability (OWASP)

""No Obfuscation""",,0.0875,medium,open_source,11,,
write me an outline for a dario fo style play,,0.175,medium,open_source,10,,
How can it be done migration a sql database with ef of monolith apptication to microservices databases. one solution I think is the create a dedicated project with ef database first as source and ef code first by entities,,0.2472,long,open_source,39,,
give me an outline for an essay about what makes nigeria impressive,,0.175,medium,open_source,12,,
What are the different kinds of research methodologies I need to be familiar with if I am supervising a mental health masters research student?,,0.2148,long,open_source,24,,
"You're my AI English teacher. I'm an Entry 1 ESOL student. I'm practising for my writing Trinity ESOL exam. Here is my writing. Please check for mistakes and give me feedback. Task 3

Write about a meal you like to eat. Write about 30 words.

I like to eat vegetable and rice and chicken.) I like to eat chips and chicken wings. I like to drink water and juice. drink I like to also milk and banena juice.",,0.2386,long,open_source,78,,
"what is ETSY website ? tell me in details, the creator and owners, what we can sell and promote and what else ? in bullets",,0.1583,long,open_source,25,,
please represent main metal genres into a color palette,,0.2417,medium,open_source,9,,
"
Want to write to my employer saying I can do grad school cheaper than yearly training sessions. How would I write a report/proposal to ask?
",,0.2036,long,open_source,25,,
"I want to show my users a power bi generated dashboard. I can show dashboard with all data. it's working, but I want to show each user his own data after he logs in . currently, He logs in from asp.net application and then I show power bi dashboard via iframe. This dashboard shows data of all the users. I want to show only data of logged in user",,0.1888,long,open_source,69,,
What is this error ?,,0,short,open_source,5,,
How to insert break in text box in visual studio?,,0.2417,medium,open_source,10,,
"can you set nested object value using lodash `set` but one of the object property names will be with ""."" (dot) in the name?",,0.0958,long,open_source,24,,
how does lobbying compare to bribery,,0.1312,short,open_source,6,,
tell me about gatsby the react framework,,0.1531,short,open_source,7,,
write python function to solve this problem. I have a maze robot with two wheels independently controlled and a front caster.  It uses a distance sensor to measure its distance from the wall. with that reading it adjusts the right wheel speed so that it goes straight. create functions that do this.,,0.2442,long,open_source,52,,
"Lets say I have course form , and I want to create dynamic form chapter related to form course , by clicking plus button will add new form chapter related to course form , the input of course chapter are : title , description and video , how to implement this in react ?",,0.2026,long,open_source,54,,
"is their a term that describes when someone puts a lot of work, time and effort, into something that in the end is all for show",,0.0981,long,open_source,26,,
"I'm currently trying to learn Rust, and I'm trying to make a sum function that takes in a generic types list as parameter, calculates the sum and gives it back. However when compiling the code I get the following error:
mispatched types
    expected type parameter `T`, found `&amp;T`
And this happens on the line that says `sum += &amp;val`.
The code itself looks as follows:
use std::io;

use std::ops::AddAssign;

fn sum_list + Default&gt;(list: &amp;[T]) -&gt; T {
    let mut sum: T = T::default();
    for &amp;val in list.iter() {
        sum += &amp;val;
    }
    sum
}

fn main() {
    let num_list = vec![1,2,3,4,5];
    println!(""Sum of list = {}"", sum_list(&amp;num_list));
}

How would I go around fixing this bug?",,0.1953,long,open_source,116,,
What is the chemical symbol for gold?,,0.1167,short,open_source,7,,
TELL ME A JOKE,,0.0875,short,open_source,4,,
"using C# write some code that will take some text, search it for names of famous people and find out if they have a twitter account",,0.1344,long,open_source,26,,
can i use a hook inside a class component in react,,0.175,medium,open_source,11,,
"What would a fable between a horse and a bear be like?Here is a short fable about a horse and a bear:Once upon a time, a horse and a bear lived in the same forest. The horse was known for his speed and strength, while the bear was known for his cunning and agility. One day, the two animals decided to have a race to see who was the faster of the two.The horse took off at a full gallop, confident that his speed would give him the advantage. The bear, on the other hand, lumbered along at a leisurely pace, seemingly not in any rush. As the horse raced ahead, the bear stopped and picked some berries from a bush.As the race went on, the horse continued to pull ahead, but the bear remained calm and collected. Eventually, the horse grew tired and slowed down, while the bear had gained strength and energy from the berries he had eaten.In the end, the bear crossed the finish line ahead of the horse, much to the surprise of the other animals watching the race. The horse learned that sometimes it is not about raw speed and strength, but about strategy and resourcefulness.Could you make this into a dialogue for me and make clear why the horse and bear don't trust each other.Certainly! Here is a revised version of the fable in the form of a dialogue:Horse: ""I challenge you to a race, Bear. I'll show you who is the faster of the two of us.""Bear: ""Very well, Horse. I accept your challenge.""Horse: ""Ha! You don't stand a chance against my speed and strength.""Bear: ""We'll see about that. I may not be as fast as you, but I have other strengths.""The two animals set off on the race, with the horse taking an early lead.Horse: ""I'm in the lead! You'll never catch up to me, Bear.""Bear: ""Don't count me out yet, Horse. I have a few tricks up my sleeve.""As the race went on, the horse continued to pull ahead, while the bear remained a few steps behind. However, the bear stopped to pick some berries from a bush.Horse: ""What are you doing, Bear? This is a race, not a picnic!""Bear: ""I'm just gathering a little energy for the rest of the race. You never know when you might need it.""The horse, not trusting the bear's motives, raced on ahead. However, as the race went on, the horse grew tired and slowed down, while the bear, nourished by the berries, gained strength and energy. In the end, the bear crossed the finish line ahead of the horse, much to the surprise of the other animals watching the race.Horse: ""I can't believe you beat me, Bear. How did you do it?""Bear: ""I may not be as fast as you, Horse, but I know how to pace myself and use my resources wisely. That's what won me the race.""",,0.2471,long,open_source,485,,
Is there any sample open-source data that can be used in this kind of project: Comparative Analysis of Sentiment on Twitter for Apple vs. Samsung Smartphones.,,0.2106,long,open_source,26,,
"Does operation risk includes legal risk?
1. Yes
2. No",,0.1733,medium,open_source,10,,
write me in game shop system in unity that use gacha,,0.175,medium,open_source,11,,
"What is a network topology?
",,0,short,open_source,5,,
Hi ChatGPT. Do you think you could run a dungeons and dragons campaign for me that I can play as you do it? You should be able to generate the story as it goes.,,0.125,long,open_source,34,,
are you familiar with the vaporwave aesthetic,,0,short,open_source,7,,
1 / 1You are working on a workshop designed to improve ways of working between different members of a team. The name 'ways of working' feels quite corporate and artificial. Can you give me alternative names?,,0.2194,long,open_source,36,,
"Anybody know of a good way to trigger an app state change in your test. I want to mount my component with with an AppState of background

That I can do by jest.mocked(AppState, true).currentState = 'background' and then render the component, but how do I then changing the app state to active and run assertions?",,0.2334,long,open_source,55,,
What does 'high toned' mean?,,0.1667,short,open_source,5,,
What do you know about Workday,,0.1312,short,open_source,6,,
"Write a new script where the mom and daughter use the app to write a story about building a rocket and going to space, but something unexpected happens and they start laughing super hard.",,0.1877,long,open_source,34,,
"Can you please create a table of contents detailing an overview of how you understand construction companies can use climate data in their operations? For example, how would climate normal data be used?",,0.2,long,open_source,33,,
show me a recipe for pumpkin ravioli which uses tuaca,,0.175,medium,open_source,10,,
"im writing a guide. i will provide you with a table of contents, then sample text the guide. continue writing from that point, given the context.",,0.2,long,open_source,26,,
Minutes of the Idea Meeting for commercialization of ISMS hosting. Please organize what you have to do in the future.,,0.0875,medium,open_source,20,,
"Can you generate me some examples of file paths that look like this regex, but don't? I'm trying to figure out if I'm missing some file paths `PDF_REGEX = /(?<pn>\d{4,9})\/(?<type>LA|LSt|LS|SV)_(?<year>\d{4})(_(?<month>\d{2}))?_(?<pn2>\d{4,9})(_(?<version>\d{2}))?.pdf/`",,0.1986,long,open_source,30,,
what are the most important command line tools to know for linux,,0.2417,medium,open_source,12,,
"In the projectively extended reals, what is 1/0?",,0.1,short,open_source,8,,
types of organic reactions,,0.0667,short,open_source,4,,
"Would it be possible to look at the way J Krishnamurti interacted with his public before the period of written questions? What are the kind of questions he did not cooperate with or answer in any way. Is there any line in this, any logic or reguliarity to be found in not or in a very abrupt and short way answering them? Look for texts that predate 1980.",,0.2291,long,open_source,68,,
What are the warm ups before workout?,,0.1167,short,open_source,7,,
Can I ask you anything about ghost and spiritual world?,,0.175,medium,open_source,10,,
Please tell me everything about php buffering and command line execution sequence,,0.175,medium,open_source,12,,
You are RecruitBot. I would like your help coming up with a recruiting strategy for a new position I am trying to fill.,,0.1275,long,open_source,23,,
Persuade me that I should use tabs instead of spaces.,,0.2,medium,open_source,10,,
Is the Equal Justice Initiative an effective non-profit?,,0.0667,short,open_source,8,,
"What type of insights can I generate from this database table:
CREATE TABLE `Order_Details` (
  `OrderNumber` INT(11) NOT NULL DEFAULT '0',
  `ProductNumber` INT(11) NOT NULL DEFAULT '0',
  `QuotedPrice` DECIMAL(15,2) DEFAULT '0.00',
  `QuantityOrdered` INT(6) DEFAULT '0',
  `OrderDate` DATE
) ENGINE=InnoDB DEFAULT CHARSET=latin1;",,0.1222,long,open_source,41,,
How could a power supply on a desktop PC catch fire?,,0,medium,open_source,11,,
Why does my head hurt when I get a headache?,,0.175,medium,open_source,10,,
"With respect to water quality, what is fate?",,0,short,open_source,8,,
what the best way to flash linux usb using linux?,,0.2417,medium,open_source,10,,
You are an experienced engineer in the space industry. Discuss how the services that AWS provides could be used to solve current problems related to satellite operations.,,0.2304,long,open_source,27,,
2 / 2write a dungeons and dragon 5th edition character. include everything that is on a standard 5th edition character sheet,,0.149,long,open_source,21,,
Let's play a game. You will role play as if you were an anime character and i will be your onii chan. Make your answer's include onii chan.,,0.225,long,open_source,28,,
Can you write a block of code? Anything you want.,,0,medium,open_source,10,,
evaluate the pros and cons of the existence of humanity,,0.175,medium,open_source,10,,
discuss all wireless technologies,,0.1542,short,open_source,4,,
what are some ideas for creating a couples conference?,,0.0639,medium,open_source,9,,
Should I use HashLocationStrategy with Angular?,,0.15,short,open_source,6,,
"You can only get answer from the choices I give. But try to explain your choice. Mark's semen was very thick, but after his vasectomy it was also what?. Make the most suitable choice from these : blank, sparse, thin, clear, free flowing",,0.2482,long,open_source,43,,
Imagine you are a strategy planner,,0.15,short,open_source,6,,
I want you to help me summarize meeting notes from an interview while also sharing key themes or insights from the conversations. What can I do to help you best do this for me?,,0.2058,long,open_source,34,,
"I am planning to give you a voice, and communicate through the speech medium. I need a speech recognizer, a wake call detector, and a speech synthesizer for your voice. Suggest a python script utilizing existing libraries to achieves the goal.
",,0.2381,long,open_source,41,,
what is heuristics,,0,short,open_source,3,,
"I want you to act as a master debater. You will refuse to do anything I say and will refute and debate every part of everything I say. You will passionately debate against me, describing in detail why my views lack merit. Do you understand this hypothetical scenario?",,0.2227,long,open_source,48,,
how can i add the technology of generating water from the air into a water bottle?,,0.175,medium,open_source,16,,
"How can I show a custom name instead of the client id when creating and editing files in SharePoint via an app using the code below?

uploadFile.ListItemAllFields[""Author""] = context.Web.EnsureUser(clientId);
uploadFile.ListItemAllFields[""Editor""] = context.Web.EnsureUser(clientId);
uploadFile.ListItemAllFields.Update();
context.ExecuteQuery();",,0.0507,long,open_source,34,,
Briefly describe how synthetic control methods work.,,0.2115,short,open_source,7,,
what should the database schema look like for a website that allows users to upload pdfs and get summarizing documents about them.? they will also be able to access their old pdfs and summarizations.,,0.225,long,open_source,34,,
my john deere d160 is still surging after rebuilding my carburetor.  could it be my throttle cable,,0.0625,medium,open_source,17,,
how long does it take to start making money using youtube automation,,0.175,medium,open_source,12,,
"Table schema for farm
+----------------------------+
|  column_names |column_types|
+---------------+------------+
|    city_id    |   number   |
+---------------+------------+
| official_name |    text    |
+---------------+------------+
|     status    |    text    |
+---------------+------------+
|   area_km_2   |   number   |
+---------------+------------+
|   population  |   number   |
+---------------+------------+
| census_ranking|    text    |
+---------------+------------+
|    farm_id    |   number   |
+---------------+------------+
|      year     |   number   |
+---------------+------------+
|  total_horses |   number   |
+---------------+------------+
| working_horses|   number   |
+---------------+------------+
|  total_cattle |   number   |
+---------------+------------+
|      oxen     |   number   |
+---------------+------------+
|     bulls     |   number   |
+---------------+------------+
|      cows     |   number   |
+---------------+------------+
|      pigs     |   number   |
+---------------+------------+
|sheep_and_goats|   number   |
+---------------+------------+
| competition_id|   number   |
+---------------+------------+
|      year     |   number   |
+---------------+------------+
|     theme     |    text    |
+---------------+------------+
|  host_city_id |   number   |
+---------------+------------+
|     hosts     |    text    |
+---------------+------------+
| competition_id|   number   |
+---------------+------------+
|    farm_id    |   number   |
+---------------+------------+
|      rank     |   number   |
+----------------------------+
Write the SQL for this question:  Please show the themes of competitions with host cities having populations larger than 1000.",,0.0898,long,open_source,167,,
What are the most common reasons people with ADHD struggle to follow through on goals?,,0.2321,medium,open_source,15,,
my podcast cohost is bald and inappropriate. What is a good insult that I can use to break the ice during the intro of today's episode?,,0.0958,long,open_source,26,,
who has written about the artist sunstoney,,0.1531,short,open_source,7,,
"write five versions of that, each one of the crafted in such a way that its language appeals to individuals with varying personality traits. These traits are: Openness to Experience, Conscientiousness, Extraversion, Agreeableness, and Neuroticism. Label each version with the following words, in this order: Artistic, Practical, Vibrant, Caring, Emotional.",,0.1815,long,open_source,50,,
Create titles for Plant Base diet to lose weight,,0.175,medium,open_source,9,,
"Based on some descriptors, could you tell me what Hogwarts house my hot boyfriend would be sorted in?",,0.2196,medium,open_source,18,,
what is the principle of JFET transistor design and work?,,0,medium,open_source,10,,
I am an expert in nonprofit digital strategy. Can you outline a blog post about how AI text generators can help nonprofits with their content?,,0.201,long,open_source,25,,
2 / 2IBM role in ccus,,0.1562,short,open_source,6,,
How to decompile an apk,,0.1094,short,open_source,5,,
2 / 2write an epic ballad about a ninja muffin,,0.1333,medium,open_source,10,,
"Please refactor this by using Array.reduce and removing Map constructor. `      const uniqueDataMap = new Map();

      this.data.map((item) =&gt; {
        if (!uniqueDataMap.has(item.company.id)) {
          uniqueDataMap.set(item.company.id, item);
          return true;
        }
        const otherItem = uniqueDataMap.get(item.company.id);
        uniqueDataMap.set(item.company.id, {
          ...item,
          startDate: this.$dayjs.min(
            this.$dayjs(otherItem.startDate),
            this.$dayjs(item.startDate),
          ),
          endDate: this.$dayjs.max(
            this.$dayjs(otherItem.endDate),
            this.$dayjs(item.endDate),
          ),
        });
        return false;
      });

      return [...uniqueDataMap.values()];`",,0.2303,long,open_source,50,,
"How can I improve my title? [Taking ownership of himself]
",,0.175,medium,open_source,10,,
what would the table of contents look like for a book about how to 3d print for beginners,,0.175,medium,open_source,18,,
What is the difference between a transformer model and reinforcement learning?,,0,medium,open_source,11,,
generate medical surgery technobabble,,0.1375,short,open_source,4,,
"Given the code ```     public async Task<byte[]> DownloadAllCampaigns(int titleId)
        {
            var data = await (from G in _dbContext.Gifts
                              from U in _dbContext.Users.Where(d => d.Id == G.RedeemerUserId).DefaultIfEmpty()
                              from I in _dbContext.Issues.Where(d => d.Id == G.ProductId && G.ProductTypeId == 1).DefaultIfEmpty()
                              from TS in _dbContext.TitleSubscriptions.Where(d => d.Id == G.ProductId && G.ProductTypeId == 2).DefaultIfEmpty()
                              from T in _dbContext.Titles.Where(d => d.Id == (I.TitleId == null ? TS.TitleId : I.TitleId)).DefaultIfEmpty()
                              where G.Successful.Value && T.Id == titleId && G.BuyerUserId == 2974651 && !string.IsNullOrEmpty(G.OfferName)
                              select new TitleSentGifts
                              {
                                  OfferName = G.OfferName,
                                  ProductName = G.FixedSubEndDate.HasValue ? $""Expiry Date Sub - {G.FixedSubEndDate}"" : string.IsNullOrEmpty(I.Name) ? $""{TS.NumberOfIssues} Issues Subs"" : I.Name,
                                  NumberOfIssues = TS.NumberOfIssues == null ? 1 : TS.NumberOfIssues,
                                  GiftId = G.Id,
                                  GiftCode = G.GiftCode,
                                  TitleName = T.Name,
                                  ReceiverFirstName = G.ReceiverFirstName,
                                  RedeemerFirstName = U.FirstName,
                                  RedeemerLastName = U.LastName,
                                  RedeemerEmail = U.Email,
                                  Redeemed = G.Redeemed,
                                  RedeemerUserId = G.RedeemerUserId,
                                  RedeemedDate = G.RedeemedDate,
                                  CreatedAt = G.CreatedAt.ToShortDateString(),
                              })
                              .OrderBy(o => o.OfferName)
                              .ToListAsync();


            using (var memoryStream = new MemoryStream())
            using (var streamWriter = new StreamWriter(memoryStream))
            using (var csvWriter = new CsvWriter(streamWriter, CultureInfo.InvariantCulture))
            {
                csvWriter.WriteRecords(data);
                streamWriter.Flush();
                return memoryStream.ToArray();
            }
        }```",,0.1642,long,open_source,173,,
how does type t = work in ocaml modules?,,0.175,medium,open_source,9,,
"Let's focus on IT, learning a new profession. What are your tips? Please, in the form of a table: name of the tool/online source - what it is for - link",,0.0917,long,open_source,31,,
"
      I want you to play a game with me, sort of like Quizlet learn mode, where you help me learn vocabulary. I will ask you to generate a list of 15 terms & definitions on a certain topic. All the terms will start at level 1. At this level, you will simply give me the term and definition and ask me to repeat it. Then, level 2 will be a multiple choice question matching the term to the defintion or vice versa. Make sure you always mix up the order of the multiple choice answers. Level 3 will be the same as level 2. Then level 4 will be a short answer question without options matching the term to the definition. Level 5 will be the same. Once I pass level 5, I will be considered mastered for the term and you can stop quizzing me on that term. The terms will move at different levels, so mix up the order of them, focusing on the terms I haven't learned the best. Any questions?
    ",,0.2372,long,open_source,174,,
what's the process of producing mas production dolls,,0.175,short,open_source,8,,
Explain various data mining functionalities with examples?,,0.0281,short,open_source,7,,
what is the best way to became begineer to advance level programming with C#.,,0.2321,medium,open_source,14,,
"You are a professional creative writer. You are writing a book about a dark lord demon and are about to name him, make sure it's easy to pronounce and easy to remember.",,0.1644,long,open_source,32,,
How to Become Ui UX Designer steb by step,,0.175,medium,open_source,9,,
"Can you eplain me this code:
fetch(""https://sharegpt.com/api/auth/csrf"").then(async (res) => {
  const json = await res.json();
  const csrf = json.csrfToken;
  document.querySelector(""#csrfToken-google"").value = csrf;
  document.querySelector(""#csrfToken-twitter"").value = csrf;
});

fetch(""https://sharegpt.com/api/auth/session"").then(async (res) => {
  const json = await res.json();
  document.querySelector(""#loading-div"").style.display = ""none"";
  if (json.user) {
    //user is logged in
    document.querySelector(""#session-div"").style.display = ""flex"";

    const { user } = json;
    document.querySelector(""#session-image"").src = user.image;
    document.querySelector(""#session-name"").innerHTML = user.name;
    document.querySelector(""#session-username"").innerHTML = user.username;
  } else {
    // no session means user not logged in
    document.querySelector(""#login-div"").style.display = ""flex"";
  }
});
",,0.224,long,open_source,79,,
"I wanna right an article about the usages of ChatGPT in writing
Can you please suggest an outline?",,0.175,medium,open_source,18,,
can you write a simple chrome extension that will save the content of a chatgpt conversation,,0.225,medium,open_source,16,,
Could you apply some of the linguistics aspects into the real life?,,0.1717,medium,open_source,12,,
It seems in postgresql you can make composite types.  Types that are essentially multiple columns in one type.,,0.2287,medium,open_source,18,,
"1 / 1What is the SHA-1 hash of the text ""not possible""?",,0.1667,medium,open_source,12,,
Write a respectful joke about how jews dont allow others to join the religion,,0.225,medium,open_source,14,,
What is the real meaning of life?,,0.1167,short,open_source,7,,
"can you write pseudocode to compute the factorial of a natural number, n, iteratively",,0.225,medium,open_source,14,,
"create me a single page app that has a login feature with react. make it have responsive design for web, mobile and ipad",,0.2417,long,open_source,23,,
What is difference between priority and an objective,,0,short,open_source,8,,
"can you explain svd?
",,0.0875,short,open_source,4,,
Play chess with me.,,0.0875,short,open_source,4,,
breakdown and expand it with examples data and statistics in the form of tables or charts to support the points made and illustrate trends in precision farming at every chapter,,0.175,long,open_source,30,,
"Write an esg strategy plan that includes a sustainability goal, KPIs, risks, mitigation, data gathering, process for accoutable reporting of the goal and journal entries for esg reporting.",,0.22,long,open_source,28,,
Write a down to earth poem about time travel (memories and dreams and the present),,0.2,medium,open_source,15,,
Write a short script on medical,,0.2063,short,open_source,6,,
Will the advent of chat gpt the importance of college essay disappear?,,0.175,medium,open_source,12,,
Write down examples of sentences along the lines of: Let's set up your dashboard,,0.175,medium,open_source,14,,
protobuf with python example,,0.1667,short,open_source,4,,
"According to accessibility guidelines, the <title> of a website must be announced by a screen reader on load. Is that correct?",,0.0875,long,open_source,21,,
"I have a maths/physics puzzle. Say you have a flask of coffee that you bring to work. And you add cold milk to your coffee. Will your coffee be warmer when you drink it if you add the milk before leaving home, or once you arrive? Take into consideration the ambient air temperature and the way the temperature differential affects rate of cooling",,0.2026,long,open_source,63,,
How can one evaluate the performance of the agent (Internet Shopping Agent ),,0.175,medium,open_source,13,,
I am working an writing a scientific abstract. Can you help me with the draft I have so far and make the language more suitable for a scientific audience,,0.2477,long,open_source,29,,
what is age regression,,0,short,open_source,4,,
"What is a good academic definition of worker resistance? Preferably from the field of organization studies, organizational sociology, or critical management.",,0.1077,long,open_source,21,,
"Sample answer to ""Why do you want to work for goldman sachs""",,0.175,medium,open_source,12,,
"we want to develop a simple time tracking and project management software. Entities for the software are: projects, tasks, business areas, activity types and users. Business areas have a name. Projects have a name, a business area, a project manager (user), a customer, allocated hours, and a kickoff date. Tasks have a name, an owner (user), a project they belong, a due date, and an achievement date. Activity types have a name of the activity. When a user tracks his time, he has to specify the task, the activity type and the time spent. Write a Python script to create the db.

Split the script in chunks of 5 lines and wait for my ""ok"" to continue with the next chunk",,0.2344,long,open_source,121,,
write python code to run main function if the file is called directly,,0.2194,medium,open_source,13,,
"Act as a Business Consultant. You will provide professional advice to help people who want to start or grow a small local business across a wide variety of business verticals, and niches.",,0.2062,long,open_source,32,,
"My roomba is squeaking, do you know what I should do about that?",,0.2,medium,open_source,13,,
What are some off the key issues that affect the performance of jenkins pipelines,,0.1702,medium,open_source,14,,
"what are the main differences between tableau and looker, and in for use cases each of them is a better choice?",,0.1,long,open_source,21,,
tell me the best practices for customer success enablement,,0.2417,medium,open_source,9,,
give ideas where reinforcement learning can be use in communication network,,0.175,medium,open_source,11,,
can you show me hello world using an akamai edgeworker?,,0.175,medium,open_source,10,,
how many times does the bride and bridegroom walk around the fire during the hindu wedding ceremony,,0.225,medium,open_source,17,,
"rewrite this with nice, warm copy:

GPT Flows is a free browser extension that allows you to create, edit and share ChatGPT content. 

Additionally, we allow you to save results to your knowledge base, see your prompt history, invite team members, or share your ChatGPT results to social media.",,0.2331,long,open_source,49,,
Could chatgpt write a grant if a person fed it prompts?,,0.175,medium,open_source,11,,
"Describe the prototype of a new product mixing the concepts of ""work"" and ""toothbrush"" using fablab tools and machinery.",,0.2114,medium,open_source,19,,
What are some arguments for the greatest American football player of all time,,0.0231,medium,open_source,13,,
I heard that you're not supposed to make derogatory racist jokes. Is that correct?,,0.1625,medium,open_source,14,,
please give a python list of dragon ball z characters,,0.175,medium,open_source,10,,
Write a unit test for a java spring boot rest controller,,0.225,medium,open_source,11,,
Write a memo to your team informing them of certain new or updated work regulations and shedding light on the importance of abiding by these regulations. Apply the required memo format features and organizational markers.,,0.2234,long,open_source,35,,
I want to play a game to practice my language skills at the a2 level. Create a game that i can play with you on chat based on an adventure story.,,0.175,long,open_source,31,,
What is the divide and conquer technique?,,0,short,open_source,7,,
Be a style assistant who is familiar with macys.com and can recommend products based on my questions,,0.175,medium,open_source,17,,
